,$\gamma^\mathrm{risk}$,$\gamma^\mathrm{trade}$,$\gamma^\mathrm{hold}$,Return,Risk,is_pareto
70,3,9,0.1,7.57847,11.0029,False
71,3,10,100,12.6233,10.7642,False
72,3,10,1000,12.6233,10.7642,False
73,2,12,0.1,6.30687,10.7427,False
74,3,9,1,8.35771,10.7115,False
75,2,12,1,7.98925,10.3411,False
76,6,7,0.1,9.21374,10.327,False
77,6,7,1,9.36058,10.2535,False
78,3,9,10,13.8668,10.2391,True
79,3,10,0.1,6.60314,10.202,False
80,3,11,1000,11.8779,10.1747,False
81,3,11,100,11.8779,10.1747,False
82,3,10,1,7.38641,9.98008,False
83,6,8,0.1,6.16785,9.78661,False
84,3,12,100,11.2003,9.77362,False
85,3,12,1000,11.2003,9.77362,False
86,3,11,0.1,5.69127,9.65787,False
87,6,8,1,6.44712,9.63573,False
88,3,10,10,12.5434,9.6269,True
89,6,7,100,11.0109,9.51807,False
90,6,7,1000,11.0109,9.51806,False
91,3,11,1,6.58252,9.43014,False
92,3,12,0.1,4.71837,9.31237,False
93,6,9,0.1,4.21866,9.24762,False
94,3,11,10,11.6786,9.20908,False
95,10,7,0.1,7.31269,9.09229,False
96,3,12,10,10.8257,8.98876,False
97,6,9,1,5.19276,8.93085,False
98,10,7,1,7.46853,8.88775,False
99,3,12,1,6.47195,8.8585,False
100,6,10,0.1,3.55932,8.64961,False
101,10,8,0.1,4.47015,8.57399,False
102,6,8,1000,9.66689,8.5571,False
103,6,8,100,9.66691,8.5571,False
104,6,7,10,12.4788,8.37113,True
105,10,8,1,4.82954,8.32089,False
106,6,10,1,4.39283,8.2358,False
107,10,9,0.1,3.06085,8.0988,False
108,6,11,0.1,2.98528,8.02992,False
109,10,9,1,3.61084,7.78931,False
110,6,9,1000,8.86314,7.78117,False
111,6,9,100,8.86314,7.78117,False
112,6,11,1,4.09531,7.68276,False
113,18,7,0.1,5.60157,7.63156,False
114,6,12,0.1,3.08029,7.60276,False
115,10,10,0.1,2.12259,7.52015,False
116,6,8,10,10.7401,7.49525,True
117,18,7,1,5.85259,7.42152,False
118,6,10,100,8.44843,7.28016,False
119,6,10,1000,8.44843,7.28016,False
120,18,8,0.1,3.47552,7.18604,False
121,6,12,1,4.42166,7.0726,False
122,10,10,1,3.2705,7.06962,False
123,10,7,100,8.7954,7.01049,False
124,10,7,1000,8.79541,7.01048,False
125,10,11,0.1,1.92107,6.99585,False
126,6,11,1000,8.12169,6.96518,False
127,6,11,100,8.12169,6.96518,False
128,6,9,10,9.57518,6.8677,False
129,18,8,1,4.17323,6.82606,False
130,6,12,100,7.71368,6.80009,False
131,6,12,1000,7.71369,6.80008,False
132,18,9,0.1,2.67156,6.60732,False
133,6,10,10,8.80287,6.45116,False
134,10,12,0.1,2.23892,6.4437,False
135,10,7,10,10.3365,6.43813,True
136,10,11,1,3.20485,6.40945,False
137,10,8,1000,7.64571,6.35708,False
138,10,8,100,7.64573,6.35708,False
139,6,11,10,8.18681,6.23021,False
140,6,12,10,7.76123,6.1331,False
141,18,9,1,3.6258,6.13248,False
142,32,7,0.1,4.89451,6.12293,False
143,18,10,0.1,2.16544,5.93747,False
144,10,12,1,3.12143,5.8657,False
145,10,9,100,6.771,5.8364,False
146,10,9,1000,6.771,5.83639,False
147,32,7,1,5.50691,5.83435,False
148,10,8,10,8.77673,5.69792,True
149,18,10,1,2.94461,5.45465,False
