,$\gamma^\mathrm{risk}$,$\gamma^\mathrm{trade}$,$\gamma^\mathrm{hold}$,Return,Risk,is_pareto
137,10,8,1000,7.64572,6.35708,False
138,10,8,100,7.64574,6.35708,False
139,6,11,10,8.18681,6.23021,False
140,6,12,10,7.76122,6.1331,False
141,18,9,1,3.62581,6.13248,False
142,32,7,0.1,4.89448,6.12293,False
143,18,10,0.1,2.16543,5.93747,False
144,10,12,1,3.1214,5.86571,False
145,10,9,1000,6.77099,5.8364,False
146,10,9,100,6.771,5.83639,False
147,32,7,1,5.50691,5.83435,False
148,10,8,10,8.77671,5.69792,True
149,18,10,1,2.94462,5.45465,False
150,32,8,0.1,4.16458,5.45413,False
151,10,10,100,6.18224,5.45009,False
152,10,10,1000,6.18223,5.45009,False
153,18,11,0.1,1.74855,5.37953,False
154,10,11,1000,5.91989,5.17292,False
155,10,11,100,5.91989,5.17292,False
156,10,9,10,7.72123,5.16145,False
157,32,8,1,4.6432,5.12435,False
158,10,12,100,5.78889,5.0734,False
159,10,12,1000,5.7889,5.0734,False
160,18,12,0.1,1.51879,4.95404,False
161,18,11,1,2.54344,4.91907,False
162,18,7,10,8.58038,4.87584,True
163,32,9,0.1,3.29172,4.85822,False
164,18,7,100,6.52635,4.8137,False
165,18,7,1000,6.52635,4.81369,False
166,10,10,10,6.89963,4.79957,False
167,10,11,10,6.28887,4.59762,False
168,10,12,10,5.86805,4.56118,False
169,32,9,1,3.78273,4.55012,False
170,18,12,1,2.28739,4.53886,False
171,56,7,0.1,4.53248,4.48234,False
172,18,8,100,5.85548,4.4228,False
173,18,8,1000,5.85545,4.4228,False
174,32,10,0.1,2.55849,4.37905,False
175,56,7,1,4.7229,4.26162,False
176,18,8,10,7.34511,4.2283,True
177,18,9,1000,5.30393,4.09448,False
178,18,9,100,5.30395,4.09448,False
179,32,10,1,3.05125,4.08448,False
180,32,11,0.1,1.98769,3.99119,False
181,56,8,0.1,3.98493,3.95781,False
182,18,10,1000,4.72148,3.85562,False
