,$\gamma^\mathrm{risk}$,$\gamma^\mathrm{trade}$,$\gamma^\mathrm{hold}$,Return,Risk,is_pareto
150,100,10,0.1,-1.25937,1.77169,False
151,100,10,1,-1.26745,1.76384,False
152,100,9,0.1,-1.03713,1.70075,False
153,100,10,10,-1.30626,1.69806,False
154,100,9,1,-1.04547,1.69202,False
155,100,8,0.1,-0.828571,1.62258,False
156,100,9,10,-1.16546,1.61719,False
157,100,8,1,-0.842294,1.61293,False
158,100,7,0.1,-0.62622,1.53679,True
159,100,8,10,-1.03963,1.52989,False
160,100,7,1,-0.658065,1.52647,True
161,100,7,10,-0.922128,1.43708,False
162,178,12,0.1,-1.59881,1.41721,False
163,178,12,1,-1.60028,1.41363,False
164,178,12,10,-1.60009,1.38177,False
165,178,11,0.1,-1.44579,1.36683,False
166,178,11,1,-1.44922,1.36285,False
167,178,11,10,-1.49261,1.32759,False
168,178,10,0.1,-1.30553,1.31299,False
169,178,10,1,-1.31076,1.30869,False
170,178,10,10,-1.40491,1.27025,False
171,178,9,0.1,-1.17481,1.25526,False
172,178,9,1,-1.18473,1.2501,False
173,178,9,10,-1.32078,1.20998,False
174,178,8,0.1,-1.04762,1.19419,False
175,178,8,1,-1.05639,1.18728,False
176,178,8,10,-1.23628,1.14799,False
177,178,7,0.1,-0.890819,1.13006,False
178,178,7,1,-0.90018,1.12317,False
179,178,7,10,-1.09186,1.0857,False
180,316,12,0.1,-1.41927,1.07181,False
181,316,12,1,-1.41511,1.06864,False
182,316,12,10,-1.46312,1.0518,False
183,316,11,0.1,-1.333,1.03416,False
184,316,11,1,-1.32991,1.03086,False
185,316,11,10,-1.40691,1.01304,False
186,316,10,0.1,-1.25464,0.994747,False
187,316,10,1,-1.25905,0.991307,False
188,316,10,10,-1.3467,0.973287,False
189,316,9,0.1,-1.17269,0.953913,False
190,316,9,1,-1.17693,0.950413,False
191,316,9,10,-1.28296,0.932269,False
192,316,8,0.1,-1.0674,0.91225,False
193,316,8,1,-1.06997,0.908791,False
194,316,8,10,-1.18079,0.890942,False
195,316,7,0.1,-0.906634,0.871436,False
196,316,7,1,-0.911913,0.868049,False
197,316,7,10,-0.999217,0.850454,False
198,562,12,0.1,-1.26415,0.835691,False
199,562,12,1,-1.26353,0.833959,False
200,562,12,10,-1.29503,0.822147,False
201,562,11,0.1,-1.21464,0.809997,False
