,$\gamma^\mathrm{risk}$,$\gamma^\mathrm{trade}$,$\gamma^\mathrm{hold}$,Return,Risk,is_pareto
132,1,6,10,18.5315,16.9861,False
133,1,6.5,1000,19.3557,16.5784,False
134,1,6.5,100,19.3553,16.5782,False
135,1,6.5,10,18.2715,16.5747,False
136,1,7,1,12.4889,16.4178,False
137,1,7,1000,19.1857,16.374,False
138,1,7,100,19.1856,16.3738,False
139,1,7,10,18.3656,16.3016,False
140,1,7.5,100,19.3328,16.2709,False
141,1,7.5,1000,19.3326,16.2708,False
142,1,8,1000,19.4931,16.204,True
143,1,8,100,19.4928,16.2038,True
144,1,7.5,10,18.562,16.1527,False
145,1,8,10,18.7657,16.058,True
146,1,7.5,0.1,11.3576,16.0415,False
147,1,7.5,1,13.4732,15.6432,False
148,1,8,0.1,12.6257,15.1889,False
149,1,8,1,14.3911,15.185,False
150,2,5.5,0.1,6.58354,13.8906,False
151,2,6,0.1,5.97354,13.4721,False
152,2,5.5,1,8.02375,13.1735,False
153,2,6.5,0.1,5.68285,13.0244,False
154,2,6,1,7.47478,12.7404,False
155,2,7,0.1,5.64023,12.6152,False
156,2,6.5,1,7.03112,12.3393,False
157,2,7.5,0.1,6.16065,12.1423,False
158,2,7,1,7.20285,11.8886,False
159,2,8,0.1,6.91754,11.7256,False
160,2,7.5,1,7.64078,11.5176,False
161,2,5.5,100,16.5598,11.3266,True
162,2,5.5,1000,16.5596,11.3265,True
163,2,8,1,8.3305,11.2493,False
164,2,5.5,10,14.8234,11.228,False
165,2,6,1000,15.5688,11.175,True
166,2,6,100,15.5687,11.1749,True
167,2,6.5,100,14.6312,11.1026,True
168,2,6.5,1000,14.631,11.1025,True
169,2,8,1000,13.2794,11.0868,False
170,2,8,100,13.2792,11.0867,False
171,2,7,1000,13.9116,11.0688,False
172,2,7,100,13.9118,11.0688,False
173,2,6,10,13.9409,11.0531,False
174,2,7.5,100,13.2602,11.0432,False
175,2,7.5,1000,13.2601,11.0432,False
176,2,8,10,12.5141,10.9918,False
177,2,6.5,10,13.2003,10.9429,False
178,3,5.5,0.1,6.37579,10.9133,False
179,2,7.5,10,12.2118,10.9131,False
180,2,7,10,12.6993,10.9092,False
181,3,6,0.1,5.52613,10.5385,False
182,3,5.5,1,7.44762,10.3249,False
183,3,6.5,0.1,4.95052,10.269,False
184,3,7,0.1,4.68982,10.0393,False
185,3,6,1,6.68519,9.96587,False
186,3,7.5,0.1,4.7033,9.83751,False
187,3,6.5,1,6.17544,9.7163,False
188,3,8,0.1,4.96893,9.66412,False
189,3,7,1,5.87886,9.52821,False
190,3,7.5,1,5.82898,9.36706,False
191,3,8,1,6.01712,9.22712,False
192,3,5.5,100,13.9721,8.8219,True
193,3,5.5,1000,13.972,8.82176,True
194,3,8,1000,11.0914,8.73399,False
195,3,8,100,11.0913,8.7339,False
196,3,5.5,10,12.6051,8.70716,False
197,3,7.5,1000,11.5256,8.62619,False
198,3,7.5,100,11.5256,8.62614,False
199,3,8,10,10.153,8.61735,False
200,3,6,100,13.1984,8.60809,False
201,3,6,1000,13.1985,8.60808,True
202,3,7,1000,12.0625,8.56301,False
203,3,7,100,12.0624,8.56295,False
204,3,6.5,1000,12.6778,8.54919,True
205,3,6.5,100,12.6776,8.54909,True
206,3,6,10,11.9302,8.51818,True
207,3,7.5,10,10.438,8.51084,False
208,3,7,10,10.8197,8.46237,False
209,3,6.5,10,11.3683,8.46019,True
210,6,5.5,0.1,6.50718,7.4042,False
211,6,5.5,1,7.00454,7.1205,False
212,6,6,0.1,5.77462,7.01215,False
213,6,6.5,0.1,5.13907,6.76093,False
214,6,6,1,6.31368,6.72444,False
215,6,7,0.1,4.60981,6.61866,False
216,6,7.5,0.1,4.20054,6.55618,False
217,6,8,0.1,3.92323,6.54655,False
218,6,6.5,1,5.72098,6.48711,False
219,6,5.5,1000,10.388,6.42386,True
220,6,5.5,100,10.3879,6.42382,True
221,6,7,1,5.2133,6.3547,False
222,6,5.5,10,9.38901,6.32047,False
223,6,8,1,4.58847,6.30113,False
224,6,7.5,1,4.8222,6.2994,False
225,6,6,100,9.90661,6.09004,False
226,6,6,1000,9.90669,6.08997,True
227,6,6,10,8.99715,5.98571,False
228,10,5.5,0.1,5.88996,5.8455,False
229,6,6.5,100,9.51961,5.84339,False
230,6,6.5,1000,9.51975,5.84337,True
231,6,6.5,10,8.65925,5.75212,False
232,10,5.5,1,6.10299,5.69866,False
233,6,7,1000,9.13011,5.68733,False
234,6,7,100,9.13015,5.6873,True
235,6,8,1000,8.51137,5.6567,False
236,6,8,100,8.51132,5.65666,False
237,6,8,10,7.75102,5.62224,False
238,6,7,10,8.24776,5.61585,False
239,6,7.5,1000,8.73877,5.61139,True
240,6,7.5,100,8.73863,5.61133,True
241,6,7.5,10,7.91509,5.5604,True
242,10,6,0.1,5.38975,5.46785,False
243,10,6,1,5.65828,5.32602,False
244,10,6.5,0.1,4.94363,5.19366,False
245,10,5.5,10,7.28006,5.06065,False
246,10,6.5,1,5.24558,5.04618,False
247,10,5.5,100,7.63196,5.03389,False
248,10,5.5,1000,7.63202,5.03386,True
249,10,7,0.1,4.53894,5.00852,False
250,10,7.5,0.1,4.17643,4.9019,False
251,10,7,1,4.86236,4.86129,False
252,10,8,0.1,3.85554,4.85874,False
253,10,6,100,7.4332,4.80466,True
254,10,6,1000,7.43317,4.80464,True
255,10,6,10,6.99065,4.78358,False
256,10,7.5,1,4.52439,4.75264,False
257,10,8,1,4.2294,4.71511,False
258,10,6.5,100,7.25855,4.62198,True
259,10,6.5,1000,7.25853,4.62196,True
260,10,6.5,10,6.68822,4.56875,False
261,18,5.5,0.1,4.85988,4.49456,False
262,10,7,100,7.08052,4.48461,False
263,10,7,1000,7.08057,4.48458,True
264,10,7,10,6.50318,4.4368,False
265,18,5.5,1,4.92714,4.40244,False
266,10,7.5,100,6.88041,4.38449,True
267,10,7.5,1000,6.88036,4.38448,True
268,10,7.5,10,6.33334,4.34458,False
269,10,8,1000,6.73851,4.31736,False
270,10,8,100,6.73854,4.31735,True
271,10,8,10,6.18252,4.29316,True
272,18,6,0.1,4.46373,4.19367,False
273,18,6,1,4.54441,4.11016,False
274,18,6.5,0.1,4.15083,3.95496,False
275,18,6.5,1,4.24765,3.8801,False
276,18,5.5,10,5.40767,3.83395,True
277,18,7,0.1,3.897,3.77313,False
278,18,7,1,4.01131,3.70195,False
279,18,6,10,5.12297,3.64916,False
280,18,7.5,0.1,3.67967,3.64181,False
281,18,5.5,100,5.1997,3.61713,False
282,18,5.5,1000,5.19973,3.61711,True
283,18,7.5,1,3.82779,3.57572,False
284,18,8,0.1,3.4825,3.55538,False
285,18,6.5,10,4.91505,3.48945,False
286,18,6,1000,4.96834,3.4868,False
287,18,6,100,4.96835,3.48678,True
288,18,8,1,3.64632,3.48654,False
289,18,6.5,100,4.86213,3.38209,True
290,18,6.5,1000,4.86209,3.38207,True
291,18,7,10,4.72478,3.36745,False
292,32,5.5,0.1,3.99906,3.34824,False
293,18,7,100,4.79143,3.29766,True
294,18,7,1000,4.79139,3.29762,True
295,32,5.5,1,4.02286,3.28173,False
296,18,7.5,10,4.60539,3.27479,False
297,18,7.5,1000,4.73765,3.23512,False
298,18,7.5,100,4.73766,3.2351,True
299,18,8,10,4.48294,3.2153,False
300,18,8,100,4.69013,3.19673,True
301,18,8,1000,4.69007,3.19671,True
302,32,6,0.1,3.61258,3.15279,False
303,32,6,1,3.63702,3.09328,False
304,32,6.5,0.1,3.30748,2.98164,False
305,32,6.5,1,3.33622,2.92989,False
306,32,7,0.1,3.07258,2.83773,False
307,32,5.5,10,4.15758,2.81695,True
308,32,7,1,3.11115,2.79254,False
309,32,7.5,0.1,2.89123,2.72196,False
310,32,6,10,3.82591,2.68119,True
311,32,7.5,1,2.93466,2.68076,False
312,32,8,0.1,2.75088,2.63451,False
313,32,8,1,2.80754,2.59678,False
314,32,6.5,10,3.59082,2.58068,False
315,32,5.5,100,3.75253,2.50412,True
316,32,5.5,1000,3.75016,2.50349,True
317,32,7,10,3.41007,2.50101,False
318,32,7.5,10,3.2752,2.4352,False
319,32,6,100,3.46839,2.41896,True
320,32,6,1000,3.46555,2.41799,True
321,32,8,10,3.2027,2.3849,False
322,56,5.5,0.1,3.24594,2.36668,False
323,32,6.5,100,3.26387,2.35397,True
324,32,6.5,1000,3.26057,2.35269,True
325,56,5.5,1,3.2549,2.32256,True
326,32,7,100,3.12267,2.30217,False
327,32,7,1000,3.1213,2.30158,False
328,32,7.5,1000,3.03339,2.26487,False
329,32,7.5,100,3.03337,2.26486,False
330,56,6,0.1,2.93264,2.25763,False
331,32,8,1000,2.99651,2.23776,False
332,32,8,100,2.99652,2.23775,False
333,56,6,1,2.94463,2.21578,False
334,56,6.5,0.1,2.66043,2.15948,False
335,56,6.5,1,2.67005,2.12078,False
336,56,7,0.1,2.43353,2.07075,False
337,56,7,1,2.44673,2.03562,False
338,56,7.5,0.1,2.24799,1.99182,False
339,56,5.5,10,3.24708,1.99082,True
340,56,7.5,1,2.26076,1.96025,False
341,56,8,0.1,2.10218,1.92425,False
342,56,6,10,2.97331,1.90387,True
343,56,8,1,2.11473,1.89687,False
344,56,6.5,10,2.73281,1.8369,False
345,56,7,10,2.54746,1.77966,False
346,56,7.5,10,2.38583,1.73212,False
347,56,5.5,100,2.74058,1.7064,True
348,56,5.5,1000,2.73814,1.70613,True
349,56,8,10,2.26169,1.69485,False
350,56,6,100,2.53598,1.63858,True
351,56,6,1000,2.53269,1.63803,True
352,56,6.5,100,2.35486,1.59031,False
353,56,6.5,1000,2.35092,1.58943,False
354,100,5.5,0.1,2.44887,1.58054,True
355,100,5.5,1,2.4452,1.5546,True
356,56,7,100,2.19284,1.55286,False
357,56,7,1000,2.18828,1.55157,False
358,56,7.5,100,2.05479,1.52417,False
359,56,7.5,1000,2.04959,1.52244,False
360,100,6,0.1,2.24222,1.50814,False
361,56,8,100,1.9596,1.50479,False
362,56,8,1000,1.95275,1.50232,False
363,100,6,1,2.24039,1.48235,False
364,100,6.5,0.1,2.05098,1.44918,False
365,100,6.5,1,2.0548,1.42407,False
366,100,7,0.1,1.8776,1.39946,False
367,100,7,1,1.88503,1.3754,False
368,100,7.5,0.1,1.72404,1.35589,False
369,100,5.5,10,2.39364,1.35121,True
370,100,7.5,1,1.73349,1.33314,False
371,100,8,0.1,1.5911,1.3168,False
372,100,8,1,1.60122,1.29572,False
373,100,6,10,2.20969,1.28385,True
374,100,6.5,10,2.04196,1.22936,True
375,100,7,10,1.89397,1.18713,True
376,100,7.5,10,1.76614,1.15805,False
377,100,8,10,1.65406,1.13557,False
378,100,5.5,1000,1.88706,1.11959,False
379,100,5.5,100,1.88833,1.11958,True
380,100,6,100,1.77122,1.07461,True
381,100,6,1000,1.76963,1.07454,True
382,178,5.5,0.1,1.72667,1.04531,True
383,100,6.5,100,1.657,1.03556,False
384,100,6.5,1000,1.65484,1.03537,False
385,178,5.5,1,1.72257,1.03064,True
386,100,7,100,1.54494,1.0048,False
387,100,7,1000,1.54216,1.00442,False
388,178,6,0.1,1.60431,0.990638,False
389,100,7.5,100,1.44557,0.981826,False
390,100,7.5,1000,1.44217,0.981237,False
391,178,6,1,1.60178,0.975726,False
392,100,8,100,1.35381,0.965012,False
393,100,8,1000,1.34952,0.964162,False
394,178,6.5,0.1,1.4874,0.945674,False
395,178,6.5,1,1.48442,0.930853,False
396,178,5.5,10,1.65876,0.910028,True
397,178,7,0.1,1.37605,0.908736,False
398,178,7,1,1.3732,0.893958,False
399,178,7.5,0.1,1.2713,0.878394,False
400,178,7.5,1,1.271,0.864017,False
401,178,6,10,1.55258,0.856273,True
402,178,8,0.1,1.17463,0.853038,False
403,178,8,1,1.17804,0.838945,False
404,178,6.5,10,1.45024,0.813416,True
405,178,7,10,1.34859,0.778576,True
406,178,7.5,10,1.26338,0.749929,True
407,178,8,10,1.17817,0.726902,False
408,178,5.5,1000,1.2387,0.71564,False
409,178,5.5,100,1.239,0.715631,True
410,316,5.5,0.1,1.15942,0.690808,False
411,178,6,1000,1.16836,0.686239,False
412,178,6,100,1.16874,0.686227,True
413,316,5.5,1,1.15509,0.682746,True
414,178,6.5,1000,1.10516,0.661373,False
415,178,6.5,100,1.10569,0.661372,True
416,316,6,0.1,1.08604,0.650606,True
417,316,6,1,1.08288,0.64244,False
418,178,7,100,1.04603,0.640145,False
419,178,7,1000,1.04518,0.640126,False
420,178,7.5,100,0.990298,0.621576,False
421,178,7.5,1000,0.989069,0.621515,False
422,316,6.5,0.1,1.01635,0.616638,False
423,316,5.5,10,1.08529,0.61008,True
424,316,6.5,1,1.01328,0.608095,False
425,178,8,100,0.934776,0.607191,False
426,178,8,1000,0.933135,0.60706,False
427,316,7,0.1,0.950325,0.588011,False
428,316,7,1,0.948689,0.579445,False
429,316,6,10,1.0228,0.571141,True
430,316,7.5,0.1,0.88714,0.563657,False
431,316,7.5,1,0.88539,0.555137,False
432,316,8,0.1,0.826591,0.543029,False
433,316,6.5,10,0.970967,0.537624,True
434,316,8,1,0.825076,0.53466,False
435,316,7,10,0.919103,0.509656,True
436,316,7.5,10,0.865144,0.486163,True
437,316,8,10,0.809492,0.466,True
438,316,5.5,1000,0.788305,0.458125,False
439,316,5.5,100,0.788548,0.45812,True
440,562,5.5,0.1,0.751168,0.456895,True
441,562,5.5,1,0.746129,0.451995,True
442,316,6,100,0.744311,0.43318,True
443,316,6,1000,0.744129,0.433178,True
444,562,6,0.1,0.704631,0.428154,False
445,562,6,1,0.700633,0.423268,False
446,316,6.5,100,0.707539,0.415664,True
447,316,6.5,1000,0.70742,0.415663,True
448,562,5.5,10,0.694142,0.408347,True
449,562,6.5,0.1,0.662723,0.403767,False
450,316,7,100,0.672236,0.400806,True
451,316,7,1000,0.672152,0.400804,True
452,562,6.5,1,0.659499,0.399047,True
453,316,7.5,100,0.640445,0.388354,False
454,316,7.5,1000,0.640404,0.38835,False
455,562,7,0.1,0.622579,0.382544,False
456,562,6,10,0.649909,0.380156,True
457,562,7,1,0.620419,0.377724,True
458,316,8,1000,0.610194,0.37758,False
459,316,8,100,0.610387,0.377577,False
460,562,7.5,0.1,0.584425,0.364158,False
461,562,7.5,1,0.582361,0.359308,False
462,562,6.5,10,0.616951,0.356681,True
